iter	Passed	Remaining
0	0	83
1	1	76
2	2	74
3	2	68
4	3	66
5	4	63
6	4	61
7	5	59
8	5	58
9	6	58
10	7	57
11	7	55
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	11	50
18	11	50
19	12	49
20	13	49
21	13	48
22	14	48
23	14	47
24	15	46
25	16	45
26	16	44
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	30	26
54	31	25
55	31	25
56	32	24
57	32	23
58	33	23
59	33	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
